norm_id,reviewer_id,field,author_value,reviewer_value,agreement,reviewer_note
CN-EXAMPLE-001,SECOND-CODER-001,source.article,,,,
CN-EXAMPLE-001,SECOND-CODER-001,normative_fragment,,,,
CN-EXAMPLE-001,SECOND-CODER-001,regulated_actor,,,,
CN-EXAMPLE-001,SECOND-CODER-001,modality,,,,
CN-EXAMPLE-001,SECOND-CODER-001,action,,,,
CN-EXAMPLE-001,SECOND-CODER-001,object,,,,
CN-EXAMPLE-001,SECOND-CODER-001,trigger,,,,
CN-EXAMPLE-001,SECOND-CODER-001,exception,,,,
CN-EXAMPLE-001,SECOND-CODER-001,timing,,,,
CN-EXAMPLE-001,SECOND-CODER-001,ambiguity_level,,,,
CN-EXAMPLE-001,SECOND-CODER-001,automation_profile,,,,
CN-EXAMPLE-001,SECOND-CODER-001,control_derivation_type,,,,
CN-EXAMPLE-001,SECOND-CODER-001,required_evidence_fields,,,,
